"Comment","Designator","Footprint","LCSC Part Number"
"1uF","C1,C2,C21,C25","C_0402_1005Metric","C52923"
"100nF","C3,C12,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24","C_0402_1005Metric","C1525"
"30pF","C8,C10","C_0402_1005Metric","C1570"
"43pF","C9,C11","C_0402_1005Metric","C415393"
"Ferrite_Bead","FB1,FB2,FB3","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1015"
"USB_A","J1","LUSB_A111_00","C3197751"
"Conn_01x16","J2,J3","TE_connectivity_AMP_6-520314-6","C7191217"
"3.3V IO EXPANSION HEADER","J4","PinHeader_2x03_P2.54mm_Vertical_3dhorizontal","C706867"
"27.4","R3,R4","R_0402_1005Metric","C284479"
"1k","R5,R19","R_0402_1005Metric","C11702"
"10k","R6","R_0402_1005Metric","C25744"
"68k","R7,R8,R9,R10,R11,R12,R13,R14","R_0402_1005Metric","C36871"
"196","R15,R16,R17","R_0402_1005Metric","C270631"
"SW_Push","SW1","switch_K2-1187SQ-A4SW-06","C92584"
"RP2040","U1","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"W25Q16JV","U2","SOIC-8_5.275x5.275mm_P1.27mm","C82317"
"74HC165","U3","SOIC-16_3.9x9.9mm_P1.27mm","C5613"
"USBLC6-2SC6","U4","SOT-23-6","C2827654"
"XC6206P332MR","U6","SOT-23","C5446"
"12MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C9002"
