Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,47.260000,24.540000,-90.000000,top
C2,1uF,C_0402_1005Metric,50.070000,21.430000,180.000000,top
C3,100nF,C_0402_1005Metric,114.620000,22.397500,180.000000,top
C8,30pF,C_0402_1005Metric,38.880000,9.800000,180.000000,top
C9,43pF,C_0402_1005Metric,39.960000,22.050000,0.000000,top
C10,30pF,C_0402_1005Metric,40.250000,7.490000,-90.000000,top
C11,43pF,C_0402_1005Metric,41.890000,22.050000,180.000000,top
C12,100nF,C_0402_1005Metric,8.620000,21.440000,180.000000,top
C14,100nF,C_0402_1005Metric,26.510000,19.790000,-90.000000,top
C15,100nF,C_0402_1005Metric,34.570000,16.920000,-90.000000,top
C16,100nF,C_0402_1005Metric,34.570000,14.600000,90.000000,top
C17,100nF,C_0402_1005Metric,42.110000,9.350000,-90.000000,top
C18,100nF,C_0402_1005Metric,41.190000,9.350000,-90.000000,top
C19,100nF,C_0402_1005Metric,38.610000,20.635000,90.000000,top
C20,100nF,C_0402_1005Metric,44.950000,14.650000,90.000000,top
C21,1uF,C_0402_1005Metric,42.330000,20.635000,90.000000,top
C22,100nF,C_0402_1005Metric,44.950000,18.260000,90.000000,top
C23,100nF,C_0402_1005Metric,44.170000,20.635000,90.000000,top
C24,100nF,C_0402_1005Metric,39.530000,20.635000,90.000000,top
C25,1uF,C_0402_1005Metric,43.250000,20.635000,90.000000,top
FB1,Ferrite_Bead,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.400000,17.920000,0.000000,top
FB2,Ferrite_Bead,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.210000,25.380000,90.000000,top
FB3,Ferrite_Bead,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,94.080000,22.560000,90.000000,top
J1,USB_A,LUSB_A111_00,120.180000,34.310000,180.000000,top
J2,Conn_01x16,TE_connectivity_AMP_6-520314-6,4.480000,40.710000,90.000000,top
J3,Conn_01x16,TE_connectivity_AMP_6-520314-6,94.080000,5.910000,-90.000000,top
J4,3.3V IO EXPANSION HEADER,PinHeader_2x03_P2.54mm_Vertical_3dhorizontal,139.075000,11.880000,90.000000,top
R3,27.4,R_0402_1005Metric,40.460000,20.655000,90.000000,top
R4,27.4,R_0402_1005Metric,41.400000,20.655000,90.000000,top
R5,1k,R_0402_1005Metric,40.260000,9.330000,90.000000,top
R6,10k,R_0402_1005Metric,34.570000,18.880000,-90.000000,top
R7,68k,R_0402_1005Metric,22.260000,45.410000,-90.000000,top
R8,68k,R_0402_1005Metric,19.720000,45.410000,-90.000000,top
R9,68k,R_0402_1005Metric,17.180000,45.410000,-90.000000,top
R10,68k,R_0402_1005Metric,14.640000,45.410000,-90.000000,top
R11,68k,R_0402_1005Metric,12.100000,45.410000,-90.000000,top
R12,68k,R_0402_1005Metric,9.560000,45.410000,-90.000000,top
R13,68k,R_0402_1005Metric,7.020000,45.410000,-90.000000,top
R14,68k,R_0402_1005Metric,4.480000,45.410000,-90.000000,top
R15,196,R_0402_1005Metric,86.460000,22.520000,-90.000000,top
R16,196,R_0402_1005Metric,89.000000,22.520000,-90.000000,top
R17,196,R_0402_1005Metric,91.540000,22.520000,-90.000000,top
R19,1k,R_0402_1005Metric,30.540000,9.740000,90.000000,top
SW1,SW_Push,switch_K2-1187SQ-A4SW-06,24.330000,6.490000,0.000000,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,39.760000,14.990000,0.000000,top
U2,W25Q16JV,SOIC-8_5.275x5.275mm_P1.27mm,30.370000,16.670000,0.000000,top
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,6.730000,14.870000,270.000000,top
U4,USBLC6-2SC6,SOT-23-6,115.150000,25.427500,180.000000,top
U6,XC6206P332MR,SOT-23,50.010000,24.600000,270.000000,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,36.730000,6.760000,180.000000,top
